ID_REGIAO;DISTRITO;Populaçãototal;Populaçãopretaeparda;Populaçãofeminina;PopulaçãoInfantil;Populaçãojovem;Densidadedomiciliar;Favelas;Ofertadeempregoformal;Remuneraçãomédiamensaldoempregoformal;ProporçãodeImpostosobreserviçoISSarrecadado;Acessoatransportedemassa;Acessoainfraestruturacicloviária;Ocorrênciasdetrânsito;Mortesnotrânsito;AcessointernetMapeamentodasantenasáreakm;AcessointernetMapeamentodasantenasPopulaçãodistrito;Violênciacontraamulhertodas;Violênciacontraamulherfeminicídio;ViolênciaLGBTQIAP+;Violênciaracial;Homicídiosdejovens;Agressõesporintervençãopolicial;Mortesporintervençãopolicial;Idademédiaaomorrer;MortalidadeporCovid19;Gravideznaadolescência;Mortalidadematerna;Mortalidadeinfantil;Mortalidadepordoençasdoaparelhocirculatório;Mortalidadepordoençasdoaparelhorespiratório;TempomédioparaconsultasnaAtençãoBásica;TempomédioparaconsultasnaAtençãoEspecializada;Tempomédiopararealizaçãodeexamesespecializados;TempomédioemdiasparaConsultascomPsiquiatras;ICSAP–InternaçõesporCondiçõesSensíveisàAtençãoPrimária;CoberturaestimadaAtençãoBásica;CoberturaestimadaESF;Tempodeatendimentoparavagaemcreche;MatrículasnoEnsinoBásicoemescolaspúblicas;DistorçãoIdadeSérienoEnsinoFundamentaldaredemunicipal;AbandonoescolarnoEnsinoFundamentaldaredemunicipal;ÍndicedoNívelSocioeconômicodasEscolasINSE;Centrosculturais,casaseespaçosdecultura;Equipamentospúblicosdecultura;Cinemas;Museus;Teatros;Espaçosculturaisindependentes;Ocupaçõesculturais;EquipamentosculturaiscomWiFi;Equipamentospúblicosdeesporte
37;Jaraguá;212.819;47.3;51.8;10.4;45.9;3.2;8.3;0.8;3.646;0.15;13.5;13.8;6;8.9;1.4;1.9;227.1;0.3;1.41;1.36;30.1;0.2;2.7;61.1;18.4;11.7;67.2;17.2;124.6;30.7;24;37;40;158;38.07;97.2;69.9;56;89.1;10.1;0.02;5.05;0;1.41;0.05;0;0.05;0;0;0.05;0.2
38;Jardim Ângela;338.265;60.1;51.4;11;48.4;3.1;53.3;0.5;2.452;0.04;0;0;4.2;4.7;1.2;1.4;217.9;0.48;0.59;0.27;13.9;0.5;0.4;61.2;19.6;12.8;49.5;5.6;116.7;12.8;18;29;34;44;37.16;100;93.5;96;96.2;9.6;0.03;4.94;0;0.89;0;0;0;0;0;0.09;0.2
39;Jardim Helena;135.605;54.7;51.3;11.6;47.7;3.3;12.2;0.9;5.212;0.02;26.6;49.6;3.8;0.7;1.5;1;214.3;0;3.69;0.88;17.2;0.7;3.2;63.2;20.7;12.4;43;14;150.5;15;32;37;38;não aplicável;33.53;87.8;55.4;61;96.5;7.7;0.04;5.05;0;1.47;0;0;0;0.7;0;0.07;0.4
40;Jardim Paulista;90.719;8.5;54.8;6.5;24.3;2.1;0;13.5;4.489;2.44;49.8;60.1;11;2.2;39;26.6;221.5;0;6.61;4.96;0;0;2.2;80.4;15.9;0.3;0;4.2;24.8;7.1;não aplicável;10;não aplicável;não aplicável;7.33;6.4;não aplicável;62;4.2;não aplicável;não aplicável;5.39;0;0;0;0;0;4.4;0;0;0
41;Jardim São Luís;293.660;51.3;51.9;10.2;43.8;3;68.8;1.9;3.508;0.36;6.3;17.2;4.9;5.1;2.8;2.5;209.7;0;0;0.78;23;0.8;1;64.7;19.7;11.1;60.5;8;117.9;15.4;17;29;36;46;28.04;100;97.4;72;86.1;11.7;0.02;5.04;0.03;1.02;0;0;0.03;0.3;0;0.07;0.3
42;José Bonifácio;136.560;47.6;52.7;8.5;41.8;3;1.3;1.8;3.082;0.11;19.5;0;4.6;5.1;1;1.1;224.9;0;1.46;2.2;12.6;0.2;2.7;64.1;21.3;11.4;65.1;8.9;94.9;32.5;4;65;47;74;32.84;58.8;6.2;39;93.5;7.4;0.04;5.22;0.07;2.2;0;0;0;0;2.2;0.07;0.4
96;Lajeado;174.539;56.2;51.4;11.1;48.4;3.2;7.2;1.9;4.333;0.03;6.3;0;4.1;1.7;2.6;1.3;266.3;0;1.72;1.55;19.4;0;2.9;61.2;19.6;11.7;58;14;178.5;28.2;34;40;56;102;24.53;60.5;36.5;31;98.7;7.3;0;5.12;0;2.86;0;0;0.06;0;0.57;0.11;0.2
43;Lapa;67.170;10.7;53.7;6.8;29.4;2.6;0.5;19;3.722;1.66;30.7;42.4;14.6;8.9;8.3;12.7;237.2;1.01;0;1.94;0;0.5;2.5;77.9;17;1.2;0;4.1;53.8;4.9;34;31;53;23;10.72;21.9;0.2;47;40.6;não aplicável;não aplicável;5.34;0.15;7.44;0;0.15;0.3;19.4;0;0.3;0.4
44;Liberdade;72.797;17.9;53.5;7.7;30;2.4;0.3;6.5;4.505;0.52;41.6;50.5;8;5.5;17.3;8.7;233.2;0;8.24;4.81;8.4;1.4;0.9;71.8;15;4.5;0;14.1;77.8;18.3;29;28;48;não aplicável;20.22;27.6;17;25;36.3;15.8;0.28;4.89;0.14;8.24;0;0;0.41;1.4;0;0.14;0.1
46;Limão;79.657;32.8;53.2;9.8;39.3;3.1;8.3;3.6;2.884;0.21;0;43.9;11.4;7.5;5;4;212.3;0;0;3.26;18;0;1.7;70.6;18.8;9.4;92;8.9;146.8;23.7;35;32;36;6;46.4;100;78.9;63;74.5;14.5;0;5.15;0;1.26;0;0;0;0;1.26;0;0.3
